17010,7,Recreational activity,P,,,,Walking,Backpacking ,Backpacking ,Moderate intensity
17085,2.5,Recreational activity,,,,,Walking,Bird watching ,Bird watching ,Moderate intensity
17026,5,Physical activity,P,,,,Walking,Carrying 0.5 to 6.8 kg  load upstairs ,Carrying 0.5 to 6.8 kg  load upstairs ,Moderate intensity
17028,8,Physical activity,P,,,,Walking,Carrying 11.4 to 22.3 kg  load upstairs ,Carrying 11.4 to 22.3 kg  load upstairs ,Moderate intensity
17029,10,Physical activity,P,,,,Walking,Carrying 22.7 to 33.6 kg  load upstairs ,Carrying 22.7 to 33.6 kg  load upstairs ,Moderate intensity
17030,12,Physical activity,P,,,,Walking,Carrying 34.1+ kg  load upstairs ,Carrying 34.1+ kg  load upstairs ,Moderate intensity
17027,6,Physical activity,P,,,,Walking,Carrying 7.3 to 10.9 kg  load upstairs ,Carrying 7.3 to 10.9 kg  load upstairs ,Moderate intensity
17020,3.5,Physical activity,,,,,Walking,Carrying infant or 7kg  load  level ground or downstairs ,Carrying infant or 7kg  load  level ground or downstairs ,Moderate intensity
17035,7,Physical activity,P,,,,Walking,Climbing hills with 0.0 to 4.1 kg  load ,Climbing hills with 0.0 to 4.1 kg  load ,Moderate intensity
17060,9,Physical activity,P,,,,Walking,Climbing hills with 19.1+ kg  load ,Climbing hills with 19.1+ kg  load ,Vigorous intensity
17040,7.5,Physical activity,P,,,,Walking,Climbing hills with 4.5 to 9.1 kg  load ,Climbing hills with 4.5 to 9.1 kg  load ,Vigorous intensity
17050,8,Physical activity,P,,,,Walking,Climbing hills with 9.5 to 19.1 kg  load ,Climbing hills with 9.5 to 19.1 kg  load ,Vigorous intensity
17070,3,Physical activity,,,,,Walking,Downstairs ,Downstairs ,Vigorous intensity
17080,6,Recreational activity,P,,,,Walking,Hiking cross country,Hiking cross country,Vigorous intensity
17151,2,Recreational activity,,,,,Walking,Less than 3.2 kph  level ground strolling very slow ,Less than 3.2 kph  level ground strolling very slow ,Vigorous intensity
17105,4,Recreational activity,,,,,Walking,Pushing a wheelchair non-occupational setting ,Pushing a wheelchair non-occupational setting ,Vigorous intensity
17100,2.5,Recreational activity,,,,,Walking,Pushing or pulling stroller with child or walking with children ,Pushing or pulling stroller with child or walking with children ,Vigorous intensity
17110,6.5,Sport,P,,,,Walking,Race walking ,Race walking ,Vigorous intensity
17140,5,Physical activity,P,,,,Walking,Using crutches ,Using crutches ,Vigorous intensity
17250,3.5,Recreational activity,,,,,Walking,Walking for pleasure work break ,Walking for pleasure work break ,Vigorous intensity
17260,5,Recreational activity,,,,,Walking,Walking grass track ,Walking grass track ,Vigorous intensity
17165,3,Recreational activity,,,,,Walking,Walking the dog,Walking the dog,Vigorous intensity
17270,4,Recreational activity,,,,,Walking,Walking to work or class,Walking to work or class,Vigorous intensity
15731,7,Sport,,,,,Wallyball,General,General,Vigorous intensity
18360,10,Sport,P,,,,Water polo,General,General,Vigorous intensity
18150,6,Physical activity,,,,,Water skiing,General,General,Vigorous intensity
2130,3,Physical activity,,,P,,Weight lifting  ,"Light or moderate effort, light workout, general ","Light or moderate effort, light workout, general ",Moderate intensity
2050,6,Physical activity,,P,,,Weight lifting  ,Power lifting or body building vigorous effort ,Power lifting or body building vigorous effort ,Vigorous intensity
2135,1,Physical activity,,,,P,Whirlpool sitting,General,General,Light Intensity
